Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Único dueño,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Audi Q5 2.0 45 Tfsi Offroad 252cv,Bs.As. G.B.A. Norte,Audi,Q5,2020,2.0 45 Tfsi Offroad 252cv,Gris,Nafta,5,Automática,2.0,SUV,43000,,,,Eléctrica,4x4,5.0,252.0,65000.0
Mercedes-Benz Clase A 2.0 A250 Amg-line 224cv Hatch,Ubicación no encontrada,,Clase A,2022,2.0 A250 Amg-line 224cv Hatch,,Nafta,5,Automática,2.0,Hatchback,29000,,,,Asistida,Delantera,5.0,224.0,59000.0
Ford F100 Xlt   Okm,Ubicación no encontrada,,Cabina simple,2010,Ford f100 xlt,Rojo,Diésel,2,Manual,3.9,,1800,,,,Hidráulica,,,,59900.0
BMW Serie 2 2.0 220i Sport Line 184cv,Ubicación no encontrada,BMW,Serie 2,2023,2.0 220i Sport Line 184cv,Violeta,Nafta,2,Automática,2.0,Coupé,8000,,,,assisted,Trasera,4.0,184.0,69990.0
Mercedes-Benz Clase GLE 53 AMG Coupe,Bs.As. G.B.A. Norte,,Clase GLE,2021,53 AMG Coupe,Blanco,Nafta,5,Automática,5.5,Off-Road,15000,,,,Eléctrica,Integral,5.0,585.0,250000.0
Ford Mustang Match 1 475cv,Ubicación no encontrada,Ford,Mustang,2023,Match 1 475cv,,Nafta,2,,,,1500,,,,,,,,122000.0
RAM 1500 5.7 Laramie Atx V8,Ubicación no encontrada,RAM,1500,2020,5.7 Laramie Atx V8,Blanco,Nafta,4,Automática,5.7,Pick-Up,19800,,,,Hidráulica,4x4,5.0,395.0,40000.0
Mercedes-Benz Clase GLA 1.6 Gla200 Urban 156cv,Ubicación no encontrada,,Clase GLA,2021,1.6 Gla200 Urban 156cv,Negro,Nafta,5,Automática,1.6,SUV,46000,,,,Asistida,Delantera,5.0,156.0,61500.0
Chevrolet Camaro Zl1,Ubicación no encontrada,Chevrolet,Zl1,2015,Zl1,Rojo,Nafta,2,,8.0,Cabriolet,9800,,,,,Trasera,,,189900.0
Jeep Grand Cherokee 3.6 Limited 286hp Techo + Llantas 18,Ubicación no encontrada,Jeep,Grand Cherokee,2020,,,Nafta,5,Automática,3.6,SUV,73000,,,,Hidráulica,4x4,5.0,286.0,58000.0
Mercedes-benz 2008 2008,Neuquén,,2008,2008,2008,,Diésel,4,,,,305000,,,,,,,,60000.0
Toyota Sw4,Capital Federal,Toyota,SW4,2024,Diamond,Plateado,Diésel,5,Automática,,SUV,1000,,,,Asistida,,,,68800.0
Jeep Wrangler WRANGLER UNLIMITED RUBICON 3.6 AT,Ubicación no encontrada,Jeep,Wrangler,2018,WRANGLER UNLIMITED RUBICON 3.6 AT,Gris,Nafta,4,Automática,,Hatchback,41000,,,,Asistida,4x4,4.0,284.0,79500.0
Nissan X-trail E-power,Capital Federal,Nissan,,2023,E-Power,,Híbrido,5,,,,7200,,,,,,,,46000.0
BMW Serie 3 2.0 320i Sedan Executive,Ubicación no encontrada,BMW,Serie 3,2023,2.0 320i Sedan Executive,Negro,Nafta,4,Manual,2.0,Sedán,10570,,,,Asistida,Trasera,5.0,184.0,69000.0
Mercedes-Benz Clase GLC 2.0 Glc250 300 4matic Atomático,Bs.As. G.B.A. Norte,,Clase GLC,2019,2.0 Glc250 300 4matic Atomático,,Nafta,5,Automática,2.0,SUV,46500,,,,Asistida,4x4,5.0,211.0,58500.0
Bmw X4 X Drive 30 I. 60 Km,Tucumán,BMW,X4,2020,x drive 30 i. 60 km,,Nafta,5,,,,60000,,,,,,,,85000.0
Mercedes-Benz Clase GLC 2.0 Glc300 4matic Coupe At,Ubicación no encontrada,,Clase GLC,2021,2.0 Glc300 4matic Coupe At,Gris,Nafta,5,Automática,2.0,Coupé,40200,,,,Asistida,4x4,5.0,258.0,120000.0
Mercedes-Benz Clase GLC 2.0 Glc300 4matic Coupe At,Ubicación no encontrada,,Clase GLC,2020,2.0 Glc300 4matic Coupe At,Blanco,Nafta,5,Automática,2.0,Coupé,110300,,,,Asistida,4x4,5.0,258.0,75000.0
Mini Cooper John Cooper Works 3 Ptas 2022,Ubicación no encontrada,MINI,Cooper,2022,JOHN COOPER WORKS,Negro,Nafta,3,Automática,2.0,Sedán,5975,,,,electronic,Delantera,5.0,,79900.0
Jeep Gladiator Rubicon,Ubicación no encontrada,Jeep,Gladiator,2021,Rubicon 21,Gris,Nafta,4,Automática,,Pick-Up,5000,,,,Hidráulica,4x4,,,104900.0
BMW X3 2.0 Xdrive 30i Executive,Ubicación no encontrada,BMW,X3,2019,2.0 Xdrive 30i Executive,Plateado,Nafta,5,Automática,2.0,SUV,30000,,,,Eléctrica,4x4,5.0,252.0,69900.0
